AppID,Name,Current,24h Peak,All-Time Peak
204360.0,Castle Crashers,335,377,"16,013"
206480.0,Dungeons & Dragons Online®,335,387,"2,854"
451340.0,Gold Rush: The Game,329,695,"6,625"
257350.0,Baldur's Gate II: Enhanced Edition,329,407,"2,644"
274920.0,FaceRig,329,845,874
505460.0,Foxhole,328,500,"4,839"
24780.0,SimCity 4 Deluxe,326,407,"5,206"
429050.0,Feed and Grow: Fish,326,392,579
268400.0,Panzer Corps,323,547,991
35450.0,Rising Storm/Red Orchestra 2 Multiplayer,322,718,"16,551"
206420.0,Saints Row IV,321,638,"42,270"
626690.0,Sword Art Online: Fatal Bullet,321,706,"21,727"
371660.0,Far Cry Primal,320,397,"14,783"
480490.0,Prey,319,564,"24,594"
310380.0,Fractured Space,319,470,"6,302"
212160.0,Vindictus,318,343,"4,124"
42680.0,Call of Duty: Modern Warfare 3,317,633,"46,327"
22370.0,Fallout 3 - Game of the Year Edition,317,409,"10,401"
366090.0,Colony Survival,316,389,"1,488"
9420.0,Supreme Commander: Forged Alliance,316,548,"1,233"
42690.0,Call of Duty: Modern Warfare 3 - Multiplayer,313,"1,291","86,832"
301120.0,Eastside Hockey Manager,313,408,964
767560.0,War Robots,313,475,598
326160.0,Shroud of the Avatar: Forsaken Virtues,309,367,624
298050.0,Master of Orion,308,413,"4,852"
312530.0,Duck Game,307,376,"5,047"
39150.0,FINAL FANTASY VIII,306,374,"4,470"
220700.0,RPG Maker VX Ace,306,331,"4,196"
201810.0,Wolfenstein: The New Order,305,412,"11,986"
666860.0,Bit Heroes,305,373,977
606800.0,Startup Company,303,469,"1,428"
627270.0,Injustice™ 2,301,499,"1,873"
500.0,Left 4 Dead,300,432,"30,616"
2700.0,RollerCoaster Tycoon 3: Platinum!,298,328,"2,800"
113200.0,The Binding of Isaac,297,438,"12,575"
329430.0,State of Decay: Year-One,297,392,"3,339"
400.0,Portal,296,329,"20,672"
1930.0,Two Worlds: Epic Edition,296,374,"5,909"
611500.0,Quake Champions,296,748,"2,453"
282440.0,Quake Live,295,579,"6,154"
239350.0,Spelunky,293,318,"2,919"
285920.0,TerraTech,292,349,"1,462"
207890.0,Football Manager 2013,289,760,"87,719"
312060.0,FINAL FANTASY XIV Online Free Trial,288,326,"1,053"
224260.0,No More Room in Hell,287,596,"10,922"
439350.0,Kritika Online,287,404,"1,474"
409710.0,BioShock Remastered,286,374,"5,245"
702320.0,March of Empires,286,564,575
313160.0,Farming Simulator 15,285,486,"18,711"
366440.0,Savage Resurrection,284,290,"1,944"
365960.0,rFactor 2,284,737,"1,424"
414530.0,Skyforge,281,477,"3,499"
374040.0,Portal Knights,280,646,"6,545"
664430.0,WWE 2K18,279,453,"2,444"
70.0,Half-Life,279,410,"2,167"
42710.0,Call of Duty: Black Ops - Multiplayer,277,641,"118,593"
48720.0,Mount & Blade: With Fire and Sword,274,610,"9,315"
595520.0,FINAL FANTASY XII THE ZODIAC AGE,274,330,"8,386"
206500.0,AirMech Strike,273,462,"2,336"
504730.0,MOBIUS FINAL FANTASY,273,813,"2,282"
333420.0,Cossacks 3,271,"1,006","5,797"
476600.0,Call of Duty: WWII,270,494,"19,406"
436150.0,Governor of Poker 3,269,514,"1,601"
225840.0,Sven Co-op,268,336,"6,572"
99900.0,Spiral Knights,266,321,"13,143"
239030.0,"Papers, Please",266,335,"6,129"
313120.0,Stranded Deep,266,320,"6,036"
242680.0,Nuclear Throne,266,316,"1,213"
285310.0,RollerCoaster Tycoon: Deluxe,266,296,823
446150.0,GUNS UP!,265,472,"2,277"
349040.0,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,264,598,"5,956"
497350.0,Conclusion,264,453,"1,973"
429660.0,Tales of Berseria,259,330,"8,085"
200260.0,Batman: Arkham City GOTY,256,424,"6,871"
552100.0,Brick Rigs,256,422,975
238010.0,Deus Ex: Human Revolution - Director's Cut,255,362,"3,392"
504230.0,Celeste,254,281,"1,197"
56400.0,"Warhammer 40,000: Dawn of War II - Retribution",253,508,"15,143"
239820.0,Game Dev Tycoon,253,428,"7,761"
471710.0,Rec Room,253,277,480
102500.0,Kingdoms of Amalur: Reckoning™,252,279,"12,800"
339800.0,HuniePop,252,318,"3,018"
291860.0,Pit People,250,270,"2,504"
4580.0,"Warhammer 40,000: Dawn of War - Dark Crusade",250,337,"2,259"
248820.0,Risk of Rain,249,279,"5,462"
525920.0,Pro Cycling Manager 2017,249,"1,123","3,355"
286570.0,F1 2015,246,668,"9,638"
78000.0,Bejeweled 3,245,341,"1,415"
40970.0,Stronghold Crusader HD,243,550,"1,487"
723330.0,Winning Post 8 2018,243,785,"1,207"
544730.0,Catan Universe,242,377,517
480650.0,Yu-Gi-Oh! Legacy of the Duelist,241,344,"1,627"
230290.0,Universe Sandbox ²,237,248,628
404730.0,Wasteland 2: Director's Cut,235,337,"3,285"
17460.0,Mass Effect,234,301,"4,183"
236430.0,DARK SOULS™ II,232,371,"79,528"
719640.0,War Planet Online: Global Conquest,231,350,461
595280.0,Throne of Lies,230,251,929
427270.0,Orcs Must Die! Unchained,229,496,"7,768"
290340.0,Armello,229,331,"3,614"
40100.0,Supreme Commander 2,227,357,"3,730"
223750.0,DCS World,227,469,"1,029"
42700.0,Call of Duty: Black Ops,226,430,"63,343"
235540.0,Warhammer: End Times - Vermintide,225,535,"24,700"
610390.0,Sugar Box,224,240,902
57690.0,Tropico 4,223,333,"10,892"
